Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
04126;MONTCLAR;04140;;MONTCLAR;44.401564953, 6.340707691
04137;NIBLES;04250;;NIBLES;44.288927751, 6.008602523
04139;NOYERS SUR JABRON;04200;;NOYERS SUR JABRON;44.169160423, 5.810131124
04144;LA PALUD SUR VERDON;04120;;LA PALUD SUR VERDON;43.796767293, 6.326899957
04144;LA PALUD SUR VERDON;04120;CHATEAUNEUF LES MOUSTIERS;LA PALUD SUR VERDON;43.796767293, 6.326899957
04148;PEYROULES;04120;;PEYROULES;43.817144389, 6.643601794
04155;PRADS HAUTE BLEONE;04420;BLEGIERS;PRADS HAUTE BLEONE;44.213354213, 6.463979188
04170;LA ROCHETTE;06260;;LA ROCHETTE;43.912488847, 6.880350571
04171;ROUGON;04120;;ROUGON;43.796622967, 6.392796619
04172;ROUMOULES;04500;;ROUMOULES;43.821581012, 6.148833216
04177;HAUTES DUYES;04380;AURIBEAU;HAUTES DUYES;44.194662453, 6.174168163
04183;ST JULIEN DU VERDON;04170;;ST JULIEN DU VERDON;43.909716409, 6.545852698
04188;ST MAIME;04300;;ST MAIME;43.900936378, 5.801209575
04192;ST MICHEL L OBSERVATOIRE;04870;;ST MICHEL L OBSERVATOIRE;43.909537513, 5.720175386
04203;SELONNET;04140;;SELONNET;44.372179233, 6.293900207
04216;THEZE;04200;;THEZE;44.329566985, 5.924564419
04226;UVERNET FOURS;04400;FOURS;UVERNET FOURS;44.319111881, 6.670341203
