Code service sages|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|26/01/2021|Vente|3881,00||||B342|EN GRAMONT-CUISIAT|1370|VAL-REVERMONT|01|426|137|C|336||||||||||||0||||||L|FRICH|460
|||||||000001|26/01/2021|Vente|3881,00||||B342|EN GRAMONT-CUISIAT|1370|VAL-REVERMONT|01|426|137|C|349||||||||||||0||||||L|FRICH|1930
|||||||000001|26/01/2021|Vente|3881,00||||B342|EN GRAMONT-CUISIAT|1370|VAL-REVERMONT|01|426|137|C|354||||||||||||0||||||L|FRICH|320
|||||||000001|26/01/2021|Vente|3881,00||||B342|EN GRAMONT-CUISIAT|1370|VAL-REVERMONT|01|426|137|C|378||||||||||||0||||||BS||3107
|||||||000001|26/01/2021|Vente|3881,00||||B342|EN GRAMONT-CUISIAT|1370|VAL-REVERMONT|01|426|137|C|401||||||||||||0||||||BS||154
|||||||000001|26/01/2021|Vente|3881,00||||B406|VIGNES SOUS GRAMONT|1370|VAL-REVERMONT|01|426|137|C|410||||||||||||0||||||BS||1325
|||||||000001|26/01/2021|Vente|3881,00||||B406|VIGNES SOUS GRAMONT|1370|VAL-REVERMONT|01|426|137|C|426||||||||||||0||||||L|FRICH|460
|||||||000001|26/01/2021|Vente|3881,00||||B406|VIGNES SOUS GRAMONT|1370|VAL-REVERMONT|01|426|137|C|432||||||||||||0||||||L|FRICH|510
|||||||000001|26/01/2021|Vente|3881,00||||B406|VIGNES SOUS GRAMONT|1370|VAL-REVERMONT|01|426|137|C|486||||||||||||0||||||L|FRICH|420
|||||||000001|26/01/2021|Vente|3881,00||||B406|VIGNES SOUS GRAMONT|1370|VAL-REVERMONT|01|426|137|C|495||||||||||||0||||||BS||1671
|||||||000001|26/01/2021|Vente|3881,00||||B325|AU CROIT|1370|VAL-REVERMONT|01|426|137|C|503||||||||||||0||||||BS||579
|||||||000001|26/01/2021|Vente|3881,00||||B387|TEPPES SOUS GRAMONT|1370|VAL-REVERMONT|01|426|137|C|540||||||||||||0||||||L|FRICH|450
|||||||000001|26/01/2021|Vente|3881,00||||B387|TEPPES SOUS GRAMONT|1370|VAL-REVERMONT|01|426|137|C|547||||||||||||0||||||L|FRICH|440
